Feature_Index	Peak_Index
65	5074
65	5075
65	5103
65	5104
65	5128
65	5129
65	5150
65	5151
65	5175
65	5176
65	5195
65	5196
65	5206
65	5207
65	5217
65	5218
65	5227
65	5228
65	5238
65	5239
65	5249
65	5250
65	5258
65	5266
66	4790
66	4791
66	4819
66	4820
66	4844
66	4845
66	4865
66	4866
66	4891
66	4892
66	4914
66	4915
66	4935
66	4936
66	4958
66	4959
66	4978
66	4979
67	9754
67	9768
67	9769
67	9784
67	9785
67	9801
67	9802
67	9817
67	9818
67	9828
67	9829
67	9839
67	9840
67	9850
67	9851
67	9860
67	9861
67	9871
67	9872
67	9884
67	9885
67	9893
67	9894
67	9904
67	9905
67	9918
68	6860
68	6873
68	6891
68	6892
68	6911
68	6912
68	6927
68	6928
68	6945
68	6946
68	6962
68	6963
68	6982
68	6983
68	7000
68	7001
68	7021
68	7022
68	7043
68	7044
68	7068
68	7069
68	7094
68	7095
68	7120
68	7121
68	7148
68	7175
69	5572
69	5591
69	5592
69	5607
69	5608
69	5622
69	5623
69	5641
69	5642
69	5658
69	5659
69	5677
69	5678
69	5697
69	5698
69	5715
69	5716
69	5733
69	5734
69	5748
69	5749
69	5759
69	5762
69	5770
69	5771
69	5783
69	5784
69	5799
69	5800
69	5816
69	5817
69	5831
69	5832
69	5844
69	5845
69	5855
69	5856
69	5868
69	5869
69	5880
69	5881
69	5895
69	5896
69	5910
69	5911
69	5924
69	5925
69	5937
69	5938
69	5955
69	5970
70	16057
70	16074
70	16075
70	16090
70	16091
70	16108
70	16109
70	16121
70	16122
70	16133
70	16134
70	16145
70	16146
70	16155
70	16156
70	16170
70	16171
70	16180
70	16181
70	16189
70	16190
70	16199
70	16200
70	16209
70	16210
70	16220
70	16221
70	16233
70	16234
70	16243
70	16244
70	16255
70	16256
70	16267
70	16268
70	16278
70	16279
70	16296
70	16297
70	16304
70	16305
70	16310
70	16311
70	16327
70	16328
70	16344
70	16345
70	16360
70	16361
70	16377
70	16378
70	16390
70	16391
70	16402
70	16403
70	16416
70	16417
70	16431
70	16432
70	16442
70	16443
70	16459
70	16460
70	16475
70	16476
70	16496
70	16523
70	16537
70	16552
70	16569
70	16583
70	16609
70	16623
70	16639
70	16655
70	16679
70	16707
71	12538
71	12556
71	12572
71	12588
71	12589
71	12602
71	12603
71	12622
71	12623
71	12643
71	12644
71	12664
71	12685
72	19741
72	19767
72	19793
72	19794
72	19819
72	19820
72	19846
72	19847
72	19869
72	19870
72	19888
72	19889
72	19905
72	19906
72	19921
72	19922
72	19940
72	19941
72	19959
72	19960
72	19980
72	19981
72	19995
72	19996
72	20013
72	20014
72	20033
72	20034
72	20053
72	20054
72	20074
72	20075
72	20093
72	20094
72	20114
72	20115
72	20130
73	24329
73	24348
73	24365
73	24380
73	24397
73	24434
73	24457
73	24474
73	24494
73	24514
74	14826
74	14849
74	14874
74	14898
74	14919
74	14920
74	14946
74	14947
74	14971
74	14972
74	14997
74	14998
74	15026
74	15027
74	15055
74	15056
74	15081
74	15082
74	15098
74	15099
74	15115
74	15116
74	15131
74	15147
74	15148
74	15163
74	15164
74	15179
74	15180
74	15194
74	15195
74	15209
74	15210
74	15225
74	15226
74	15241
74	15242
74	15256
74	15257
74	15271
74	15272
74	15289
74	15290
74	15302
74	15303
74	15315
74	15316
74	15331
74	15332
74	15347
74	15348
74	15364
74	15365
74	15378
74	15379
74	15391
74	15392
74	15405
74	15406
74	15419
74	15420
74	15432
74	15433
74	15445
74	15460
74	15474
74	15489
74	15505
75	17932
75	17933
75	17946
75	17947
75	17957
75	17958
75	17973
75	17974
75	17988
75	17989
75	18002
75	18003
75	18012
75	18013
75	18025
75	18026
75	18039
75	18040
75	18049
75	18060
75	18061
75	18070
75	18071
76	6346
76	6366
76	6384
76	6395
76	6405
76	6414
76	6427
76	6439
76	6453
76	6470
76	6488
76	6509
76	6528
76	6544
76	6561
76	6600
76	6619
76	6638
76	6660
76	6686
76	6709
77	9830
77	9841
77	9852
77	9862
77	9873
77	9886
77	9895
77	9906
77	9907
77	9919
77	9920
77	9928
77	9929
77	9940
77	9949
77	9950
77	9960
77	9961
77	9973
77	9974
77	9985
77	9996
77	9997
77	10008
77	10009
77	10020
77	10021
77	10032
77	10033
77	10045
77	10046
77	10059
77	10060
77	10074
77	10075
77	10089
77	10090
77	10106
77	10107
77	10123
77	10124
77	10142
77	10143
77	10158
77	10159
77	10176
77	10194
77	10195
77	10215
