scan_num	charge	abundance	mz	fit	average_mw	monoisotopic_mw	mostabundant_mw	fwhm	signal_noise	mono_abundance	mono_plus2_abundance	index
2729	2	6730	401.1964	0.008	800.8715	800.3783	800.3782	0	0	0	0	3780
2733	2	4570	401.1962	0.01	800.8712	800.3779	800.3779	0	0	0	0	3791
2736	2	4760	401.1965	0.006	800.8717	800.3785	800.3784	0	0	0	0	3799
2742	2	2260	401.1963	0.01	800.8714	800.3782	800.3781	0	0	0	0	3815
2766	2	885	401.1977	0.018	800.8741	800.3808	800.3808	0	0	0	0	3954
2771	2	2660	401.1966	0.008	800.872	800.3787	800.3787	0	0	0	0	3979
2773	2	3570	401.1966	0.009	800.8719	800.3787	800.3787	0	0	0	0	3999
2776	2	6710	401.196	0.007	800.8708	800.3775	800.3775	0	0	0	0	4007
2779	2	3950	401.1965	0.024	800.8717	800.3785	800.3785	0	0	0	0	4023
2782	2	2110	401.1967	0.033	800.8722	800.379	800.3789	0	0	0	0	4042
2785	2	2070	401.1967	0.022	800.8722	800.3789	800.3789	0	0	0	0	4060
2788	2	1250	401.1967	0.031	800.8722	800.3789	800.3789	0	0	0	0	4080
2802	2	1120	500.7573	0.009	1000.1047	999.5	999.5	0	0	0	0	4169
2804	2	1240	500.7575	0.004	1000.1051	999.5005	999.5004	0	0	0	0	4190
2806	2	1540	500.7573	0.02	1000.1048	999.5001	999.5001	0	0	0	0	4210
2808	1	1940	657.3691	0.019	656.7611	656.3618	656.3618	0	0	0	0	4223
2811	1	5320	657.3689	0.012	656.7609	656.3616	656.3616	0	0	0	0	4245
2811	2	1330	500.7572	0.015	1000.1046	999.4999	999.4999	0	0	0	0	4250
2813	1	7800	657.3689	0.011	656.7609	656.3616	656.3616	0	0	0	0	4265
2813	2	828	500.7577	0.005	1000.1055	999.5008	999.5008	0	0	0	0	4272
2816	1	13300	657.369	0.01	656.761	656.3617	656.3617	0	0	0	0	4288
2816	2	789	500.7575	0.04	1000.1052	999.5006	999.5005	0	0	0	0	4294
2819	1	24800	657.3689	0.01	656.7609	656.3616	656.3616	0	0	0	0	4311
2822	1	34400	657.3689	0.008	656.7609	656.3616	656.3616	0	0	0	0	4332
2825	1	18900	657.3765	0.031	656.7684	656.3692	656.3692	0	0	0	0	4342
2827	1	48500	657.3687	0.009	656.7606	656.3614	656.3614	0	0	0	0	4352
2830	1	50200	657.3688	0.009	656.7607	656.3615	656.3615	0	0	0	0	4370
2833	1	32600	657.3688	0.011	656.7608	656.3615	656.3616	0	0	0	0	4389
2833	2	3880	401.1967	0.032	800.8722	800.379	800.3789	0	0	0	0	4392
2836	1	18800	657.3671	0.006	656.7591	656.3598	656.3598	0	0	0	0	4397
2839	1	14300	657.369	0.009	656.761	656.3617	656.3618	0	0	0	0	4409
2839	2	5980	401.1967	0.006	800.8721	800.3788	800.3788	0	0	0	0	4413
2839	1	1790	801.3866	0.019	800.8726	800.3794	800.3794	0	0	0	0	4414
2842	1	5260	657.3692	0.006	656.7612	656.3619	656.3619	0	0	0	0	4433
2842	2	7180	401.1967	0.018	800.8721	800.3789	800.3789	0	0	0	0	4436
2842	1	2060	801.3868	0.021	800.8728	800.3796	800.3796	0	0	0	0	4437
2844	1	3210	657.3691	0.007	656.7611	656.3618	656.3618	0	0	0	0	4457
2844	2	5320	401.1967	0.021	800.8721	800.3788	800.3788	0	0	0	0	4461
2844	1	2060	801.3868	0.016	800.8728	800.3795	800.3795	0	0	0	0	4462
2847	1	1570	657.3691	0.013	656.761	656.3618	656.3618	0	0	0	0	4480
2847	2	4460	401.1968	0.01	800.8724	800.3791	800.3791	0	0	0	0	4482
2847	1	1190	801.387	0.02	800.8729	800.3797	800.3797	0	0	0	0	4483
2850	2	3080	401.1978	0.028	800.8743	800.3811	800.381	0	0	0	0	4502
2853	2	1360	401.1965	0.007	800.8717	800.3785	800.3785	0	0	0	0	4525
2856	1	1700	657.3691	0.004	656.7611	656.3618	656.3618	0	0	0	0	4545
2856	2	1140	401.1965	0.013	800.8717	800.3785	800.3785	0	0	0	0	4548
2859	1	1480	596.3524	0.006	595.7037	595.3451	595.3451	0	0	0	0	4567
2859	1	1100	657.3686	0.005	656.7606	656.3613	656.3613	0	0	0	0	4570
2862	2	1020	401.1965	0.013	800.8718	800.3785	800.3785	0	0	0	0	4594
2865	2	2050	401.1966	0.014	800.8719	800.3786	800.3786	0	0	0	0	4614
2868	1	1370	596.3522	0.004	595.7036	595.345	595.345	0	0	0	0	4632
2868	2	1580	401.1965	0.015	800.8718	800.3785	800.3785	0	0	0	0	4635
2871	2	1710	401.1966	0.008	800.8719	800.3787	800.3786	0	0	0	0	4653
